Accession	Unnamed: 0	Organism_Name	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Isolation_Source	date	BioSample	GenBank_Title	Division
JX041630.1	2634	West Nile virus	?	Prilipov,A.G., Kinney,R.M., Sadykova,G.K.	The D.I. Ivanovsky Institute of Virology of The Ministry of Health and Social Development of The Russian Federation, Molecular Genetics	Russia	2012-07-31T00:00:00Z	?	Orthoflavivirus nilense	10810	complete	Azerbaijan	Azerbaijan	?	Aves	?	1967	?	West Nile virus strain LEIV-1640Az, complete genome	?
MH021189.1	1298	West Nile virus	?	Wollants,E., Smolders,D., Naesens,R., Bruynseels,P., Lagrou,K., Matthijnssens,J., Van Ranst,M.	Rega institute KULeuven, Clinical and Epidemiological Virology	Belgium	2018-03-24T00:00:00Z	WNV/Belgium/2017/Antwerpen	Orthoflavivirus nilense	11060	complete	Belgium	Belgium	?	Homo sapiens	?	2017-10	?	West Nile virus isolate WNV/Belgium/2017/Antwerpen, complete genome	?
KR107956.1	1878	West Nile virus	?	Dridi,M., Rosseel,T., Orton,R., Johnson,P., Lecollinet,S., Muylkens,B., Lambrecht,B., Van Borm,S.	Veterinary and Agrochemical Research Center, Operational Directorate Viral Diseases	Belgium	2015-09-23T00:00:00Z	?	Orthoflavivirus nilense	10435	partial	Belgium	Belgium	?	?	?	2014	?	West Nile virus strain Is98 polyprotein precursor, gene, complete cds	?
MT905060.1	476	West Nile virus	?	Siconelli,M.J.L., Jorge,D.M.M., Castro-Jorge,L.A., Fonseca-Junior,A.A., Nascimento,M.L., Floriano,V.G., Souza,F.R., Queiroz-Junior,E.M., Camargos,M.F., Costa,E.D.L., Carvalho,A.A.B., Fonseca,B.A.L.D., Fonseca,B.A.L.	Ribeirao Preto Medical School - University of Sao Paulo, Internal Medicine Department - Virology Research Center	Brazil	2021-03-23T00:00:00Z	JNESEq804	Orthoflavivirus nilense	10893	complete	Brazil: Espirito Santo state, Joao Neiva municipality	Brazil	?	Equus caballus	?	2019-06-13	?	West Nile virus isolate JNESEq804, complete genome	Espirito Santo state, Joao Neiva municipality
MW420988.1	402	West Nile virus	?	Costa,E.A., Giovanetti,M., Fonseca,V.S., Aburjaile,F.F., Xavier,J., Catenacci,L., Adelino,T., Iani,F.C.M., Dumon,W., Deforche,K., Lourenco,J., De Oliveira,T., Alcantara,L.C.J.	Fundacao Oswaldo Cruz, Laboratorio de Flavivirus	Brazil	2022-05-08T00:00:00Z	?	Orthoflavivirus nilense	10801	complete	Brazil: Sao Paulo	Brazil	?	Equus caballus	?	2019-07-30	?	West Nile virus strain RangerSP, complete genome	Sao Paulo
ON782107.1	159	West Nile virus	?	Fritsch,H., Pereira,F.M., Costa,E.A., Fonseca,V., Tosta,S., Xavier,J., Levy,F., Oliveira,C., Menezes,G., Lima,J., Santos,L., Silva,L., Nardy,V., Astete,M.K.G., Santos,B.S., Aguiar,N.R., Guedes,M.I.M.C., Faria,G.C., Furtini,R., Drumond,S.R.M., Cunha,G.M., Souza,M.S.P.L., Jesus,R., Guimar,S.A.F., Nuno,I.C., Santana,I.C.B., S,J.E.U., Santos,G.R., Silva,W.S., Guedes,T.F., Ara,E.L.L., Said,R.F.D.C., Albuquerque,C.F.C., Peterka,C.R.L., Romano,A.P.M., Cunha,R.V.D., Filippis,A.M.B., Leal E Silva de Mello,A., Giovanetti,M., Alcantara,L.C.J., Guimaraes,S.A.F., Sa,J.E.U., Freitas,C., Navegantes,W., Cunha,R.V., Mello,A.L.S.	Fundacao Oswaldo Cruz, Laboratorio de Flavivirus	Brazil	2023-02-08T00:00:00Z	?	Orthoflavivirus nilense	10300	partial	Brazil: Abaiara, Ceara	Brazil	?	Equus caballus	brain	2019-01-10	?	West Nile virus strain BC24-LIB3 polyprotein gene, partial cds	Abaiara, Ceara
MH643887.1	671	West Nile virus	?	Martins,L.C., Silva,E.V.P.D., Casseb,L.M.N., Silva,S.P.D., Cruz,A.C.R., Pantoja,J.A.S., Medeiros,D.B.A., Martins Filho,A.J., Cruz,E.D.R.M.D., Araujo,M.T.F., Cardoso,J.F., Cunha,M.A.C.R.D., Almada,G.L., Romano,A.P.M., Santos,M.G.D.P., Rodrigues,G.A.P., Chiang,J.O., Quaresma,J.A.S., Carvalho,V.L., Vasconcelos,P.F.D.C., Silva,E.V.P., Silva,S.P., Vasconcelos,P.F.C.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers	Brazil	2019-01-28T00:00:00Z	?	Orthoflavivirus nilense	11019	complete	Brazil	Brazil	?	Equus caballus	brain	2018-04-26	?	West Nile virus strain BeAn854747, complete genome	?
MW420989.1	403	West Nile virus	?	Costa,E.A., Giovanetti,M., Fonseca,V.S., Aburjaile,F.F., Xavier,J., Catenacci,L., Adelino,T., Iani,F.C.M., Dumon,W., Deforche,K., Lourenco,J., De Oliveira,T., Alcantara,L.C.J.	Fundacao Oswaldo Cruz, Laboratorio de Flavivirus	Brazil	2022-05-08T00:00:00Z	?	Orthoflavivirus nilense	10795	complete	Brazil: Minas Gerais	Brazil	?	Equus caballus	?	2018-07-11	?	West Nile virus strain SafiraMG, complete genome	Minas Gerais
MW420987.1	401	West Nile virus	?	Costa,E.A., Giovanetti,M., Fonseca,V.S., Aburjaile,F.F., Xavier,J., Catenacci,L., Adelino,T., Iani,F.C.M., Dumon,W., Deforche,K., Lourenco,J., De Oliveira,T., Alcantara,L.C.J.	Fundacao Oswaldo Cruz, Laboratorio de Flavivirus	Brazil	2022-05-08T00:00:00Z	?	Orthoflavivirus nilense	10960	complete	Brazil: Piaui	Brazil	?	Equus caballus	?	2020-08-21	?	West Nile virus strain E66CaprichoPI, complete genome	Piaui
ON782108.1	160	West Nile virus	?	Fritsch,H., Pereira,F.M., Costa,E.A., Fonseca,V., Tosta,S., Xavier,J., Levy,F., Oliveira,C., Menezes,G., Lima,J., Santos,L., Silva,L., Nardy,V., Astete,M.K.G., Santos,B.S., Aguiar,N.R., Guedes,M.I.M.C., Faria,G.C., Furtini,R., Drumond,S.R.M., Cunha,G.M., Souza,M.S.P.L., Jesus,R., Guimar,S.A.F., Nuno,I.C., Santana,I.C.B., S,J.E.U., Santos,G.R., Silva,W.S., Guedes,T.F., Ara,E.L.L., Said,R.F.D.C., Albuquerque,C.F.C., Peterka,C.R.L., Romano,A.P.M., Cunha,R.V.D., Filippis,A.M.B., Leal E Silva de Mello,A., Giovanetti,M., Alcantara,L.C.J., Guimaraes,S.A.F., Sa,J.E.U., Freitas,C., Navegantes,W., Cunha,R.V., Mello,A.L.S.	Fundacao Oswaldo Cruz, Laboratorio de Flavivirus	Brazil	2023-02-08T00:00:00Z	?	Orthoflavivirus nilense	10271	partial	Brazil: Itagiba, Bahia	Brazil	?	Equus caballus	?	2018-04-21	?	West Nile virus strain LACENBA15 polyprotein gene, partial cds	Itagiba, Bahia
ON782109.1	161	West Nile virus	?	Fritsch,H., Pereira,F.M., Costa,E.A., Fonseca,V., Tosta,S., Xavier,J., Levy,F., Oliveira,C., Menezes,G., Lima,J., Santos,L., Silva,L., Nardy,V., Astete,M.K.G., Santos,B.S., Aguiar,N.R., Guedes,M.I.M.C., Faria,G.C., Furtini,R., Drumond,S.R.M., Cunha,G.M., Souza,M.S.P.L., Jesus,R., Guimar,S.A.F., Nuno,I.C., Santana,I.C.B., S,J.E.U., Santos,G.R., Silva,W.S., Guedes,T.F., Ara,E.L.L., Said,R.F.D.C., Albuquerque,C.F.C., Peterka,C.R.L., Romano,A.P.M., Cunha,R.V.D., Filippis,A.M.B., Leal E Silva de Mello,A., Giovanetti,M., Alcantara,L.C.J., Guimaraes,S.A.F., Sa,J.E.U., Freitas,C., Navegantes,W., Cunha,R.V., Mello,A.L.S.	Fundacao Oswaldo Cruz, Laboratorio de Flavivirus	Brazil	2023-02-08T00:00:00Z	?	Orthoflavivirus nilense	10300	partial	Brazil: Ipira, Bahia	Brazil	?	Equus caballus	?	2019-07-22	?	West Nile virus strain LACENBA17 polyprotein gene, partial cds	Ipira, Bahia
OP422646.1	46	West Nile virus	?	Neto,J.P.N., Reis,L.A.M., Freitas,M.N.O., do Nascimento,B.L.S., das Chagas,L.L., da Costa,H.H.M., Rodrigues,J.C.P., Braga,C.M., da Silva,E.V.P., Silva,S.P., Martins,L.C.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers	Brazil	2023-05-08T00:00:00Z	Ar848804	Orthoflavivirus nilense	11050	partial	Brazil	Brazil	?	Culex	?	2017-03	?	West Nile virus isolate Ar848804 polyprotein gene, complete cds	?
KF367469.1	2477	West Nile virus	?	Anthony,S.J., Garner,M.M., Palminteri,L., Navarrete-Macias,I., Sanchez-Leon,M.D., Briese,T., Daszak,P., Lipkin,W.I.	Columbia University, Center for Infection and Immunity	USA	2014-05-19T00:00:00Z	BVI2013_Heart	Orthoflavivirus nilense	10763	complete	British Virgin Islands: Necker Island	British Virgin Islands	?	Phoenicopterus roseus	heart	2013-03-30	?	West Nile virus isolate BVI2013_Heart, complete genome	Necker Island
MT341472.1	599	West Nile virus	?	Christova,I., Papa,A., Trifonova,I., Panayotova,E., Pappa,S., Mikov,O.	Aristotle University of Thessaloniki, Dept. of Microbiology	Greece	2020-04-28T00:00:00Z	Pleven_10m-Bulgaria-2018	Orthoflavivirus nilense	10787	complete	Bulgaria	Bulgaria	?	Culex	?	2018-08	?	West Nile virus isolate Pleven_10m-Bulgaria-2018, complete genome	?
KU206781.1	1840	West Nile virus	?	Baymakova,M., Trifonova,I., Panayotova,E., Dakova,S., Pacenti,M., Barzon,L., Lavezzo,E., Hristov,Y., Ramshev,K., Plochev,K., Palu,G., Christova,I., Franchin,E.	University of Padua, Department of Molecular Medicine	Italy	2016-07-16T00:00:00Z	?	Orthoflavivirus nilense	10983	complete	Bulgaria	Bulgaria	?	Homo sapiens	?	2015-08-27	?	West Nile virus strain Bulgaria/2015/Sofia, complete genome	?
MH819449.1	625	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN5229CPR1/Canada/2014	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2014-09-22	?	West Nile virus isolate VN5229CPR1/Canada/2014 polyprotein gene, partial cds	?
MH819462.1	638	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN6319CPR1/Canada/2015	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2015-09-09	?	West Nile virus isolate VN6319CPR1/Canada/2015 polyprotein gene, partial cds	?
MH819459.1	635	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN4794CPR1/Canada/2014	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2014-09-04	?	West Nile virus isolate VN4794CPR1/Canada/2014 polyprotein gene, partial cds	?
MH819455.1	631	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	30712CPR1/Canada/2006	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2006-08-30	?	West Nile virus isolate 30712CPR1/Canada/2006 polyprotein gene, partial cds	?
MH819465.1	641	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN6325CPR1/Canada/2015	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2015-09-09	?	West Nile virus isolate VN6325CPR1/Canada/2015 polyprotein gene, partial cds	?
MH819451.1	627	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	13217CPR4/Canada/2005	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2005-08-12	?	West Nile virus isolate 13217CPR4/Canada/2005 polyprotein gene, partial cds	?
MH819457.1	633	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	13452CPR3/Canada/2005	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2005-08-19	?	West Nile virus isolate 13452CPR3/Canada/2005 polyprotein gene, partial cds	?
MH819461.1	637	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	10072CPR1/Canada/2004	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2004-09-07	?	West Nile virus isolate 10072CPR1/Canada/2004 polyprotein gene, partial cds	?
MH819464.1	640	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	10704CPR1/Canada/2004	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2004-09-15	?	West Nile virus isolate 10704CPR1/Canada/2004 polyprotein gene, partial cds	?
MH819446.1	622	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN6490CPR1/Canada/2015	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2015-10-06	?	West Nile virus isolate VN6490CPR1/Canada/2015 polyprotein gene, partial cds	?
MH819456.1	632	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN1533CPR1/Canada/2013	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2013-09-09	?	West Nile virus isolate VN1533CPR1/Canada/2013 polyprotein gene, partial cds	?
MH819470.1	646	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN5038CPR1/Canada/2014	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2014-09-15	?	West Nile virus isolate VN5038CPR1/Canada/2014 polyprotein gene, partial cds	?
MH819458.1	634	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	13494CPR1/Canada/2005	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2005-08-25	?	West Nile virus isolate 13494CPR1/Canada/2005 polyprotein gene, partial cds	?
MH819452.1	628	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN6364CPR1/Canada/2015	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2015-09-15	?	West Nile virus isolate VN6364CPR1/Canada/2015 polyprotein gene, partial cds	?
MH819460.1	636	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN1316CPR1/Canada/2013	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2013-08-19	?	West Nile virus isolate VN1316CPR1/Canada/2013 polyprotein gene, partial cds	?
MH819447.1	623	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN1429CPR1/Canada/2013	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2013-08-26	?	West Nile virus isolate VN1429CPR1/Canada/2013 polyprotein gene, partial cds	?
MH819453.1	629	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN6806CPR1/Canada/2016	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2016-08-09	?	West Nile virus isolate VN6806CPR1/Canada/2016 polyprotein gene, partial cds	?
MH819454.1	630	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	21285CPR1/Canada/2006	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2006-08-29	?	West Nile virus isolate 21285CPR1/Canada/2006 polyprotein gene, partial cds	?
MH819463.1	639	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN4365CPR1/Canada/2014	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2014-08-21	?	West Nile virus isolate VN4365CPR1/Canada/2014 polyprotein gene, partial cds	?
MH819450.1	626	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN6862CPR1/Canada/2016	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2016-08-16	?	West Nile virus isolate VN6862CPR1/Canada/2016 polyprotein gene, partial cds	?
MH819466.1	642	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN6864CPR2/Canada/2016	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2016-08-16	?	West Nile virus isolate VN6864CPR2/Canada/2016 polyprotein gene, partial cds	?
MH819467.1	643	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	VN1329CPR1/Canada/2013	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2013-08-19	?	West Nile virus isolate VN1329CPR1/Canada/2013 polyprotein gene, partial cds	?
MH819468.1	644	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	9120CPR2/Canada/2004	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2004-08-08	?	West Nile virus isolate 9120CPR2/Canada/2004 polyprotein gene, partial cds	?
MH819469.1	645	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	21303VEX2/Canada/2006	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Aedes vexans	pooled insects	2006-08-29	?	West Nile virus isolate 21303VEX2/Canada/2006 polyprotein gene, partial cds	?
MH819448.1	624	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	13923CPR1/Canada/2005	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2005-08-31	?	West Nile virus isolate 13923CPR1/Canada/2005 polyprotein gene, partial cds	?
MH819471.1	647	West Nile virus	?	Therrien,C., Fournier,E., Ludwig,A., Menard,J., Charest,H., Martineau,C.	Laboratoire de sante publique du Quebec, Bacteriologie	Canada	2019-08-31T00:00:00Z	10208CPR3/Canada/2004	Orthoflavivirus nilense	10374	partial	Canada	Canada	?	Culex	pooled insects	2004-09-07	?	West Nile virus isolate 10208CPR3/Canada/2004 polyprotein gene, partial cds	?
GQ851608.1	2907	West Nile virus	?	May,F.J., Davis,C.T., Tesh,R.B., Barrett,A.D., Barrett,A.D.T.	UTMB, Pathology	USA	2010-09-13T00:00:00Z	?	Orthoflavivirus nilense	10964	partial	Central African Republic	Central African Republic	?	?	?	1967	?	West Nile virus strain ArB310/67 polyprotein gene, complete cds	?
DQ318020.1	3207	West Nile virus	?	Borisevich,V.G., Seregin,A.V., Yamshchikov,V.F.	Molecular Biosciences	USA	2006-01-01T00:00:00Z	?	Orthoflavivirus nilense	11048	complete	Central African Republic	Central African Republic	?	?	?	?	?	Wets NIle virus strain ArB3573/82, complete genome	?
JX442279.1	2027	West Nile virus	?	Lu,Z., Fu,S.H., Cao,L., Tang,C.J., Zhang,S., Li,Z.X., Tusong,M., Yao,X.H., Zhang,H.L., Wang,P.Y., Wumaier,M., Yuan,X.Y., Li,M.H., Zhu,C.Z., Fu,L.P., Liang,G.D., Fu,S., Liang,G.	Institute for Viral Diseases Control and Prevention, Viral Encephalitis	China	2014-09-16T00:00:00Z	?	Orthoflavivirus nilense	11029	complete	China	China	?	Culex pipiens pipiens	?	2011	?	West Nile virus strain XJ11129, complete genome	?
AY490240.2	3253	West Nile virus	?	Jiang,T., Qin,E., Deng,Y.	Institute of Microbiology and Epidemiology, Virology	China	2003-12-29T00:00:00Z	?	Orthoflavivirus nilense	11028	complete	China	China	?	?	?	?	?	West Nile virus strain Chin-01, complete genome	?
JN716371.1	2641	West Nile virus	?	Osorio,J.E., Ciuoderis,K.A., Lopera,J.G., Piedrahita,L.D., Murphy,D., Levasseur,J., Carrillo,L., Ocampo,M.C., Hofmeister,E.	University of Wisconsin, Dept. of Pathobiological Sciences	USA	2012-02-27T00:00:00Z	COL524/08	Orthoflavivirus nilense	10754	partial	Colombia: Medellin	Colombia	?	Phoenicopterus ruber	?	2008-07	?	West Nile virus isolate COL524/08 polyprotein gene, complete cds	Medellin
JN716372.1	2642	West Nile virus	?	Osorio,J.E., Ciuoderis,K.A., Lopera,J.G., Piedrahita,L.D., Murphy,D., Levasseur,J., Carrillo,L., Ocampo,M.C., Hofmeister,E.	University of Wisconsin, Dept. of Pathobiological Sciences	USA	2012-02-27T00:00:00Z	COL9835/08	Orthoflavivirus nilense	10754	partial	Colombia: Medellin	Colombia	?	Phoenicopterus ruber	?	2008-07	?	West Nile virus isolate COL9835/08 polyprotein gene, complete cds	Medellin
KU978766.1	1337	West Nile virus	SRR3218227	Guerbois,M., Forrester,N.L., Rossi,S.L., Hari,K., Lin,D., Weaver,S.C.	University of Texas Medical Branch, Microbiology and Immunology	USA	2017-03-25T00:00:00Z	COL 739-08	Orthoflavivirus nilense	10994	partial	Colombia	Colombia	?	Phoenicopterus ruber	?	2008-07	SAMN04328128	West Nile virus isolate COL 739-08 polyprotein (AUF31_00001) gene, complete cds	?
MF797870.1	1319	West Nile virus	?	Richter,J., Tryfonos,C., Christdoulou,C.	Cyprus Institute of Neurology and Genetics, Molecular Virology	Cyprus	2017-09-19T00:00:00Z	?	Orthoflavivirus nilense	10982	complete	Cyprus	Cyprus	?	Homo sapiens	urine	2016-07	?	West Nile virus strain WNV_Cy2016, complete genome	?
GQ903680.1	2681	West Nile virus	?	McMullen,A.R., Albayrak,H., May,F.J., Davis,C.T., Beasley,D.W., Barrett,A.D., Tesh,R.B., Barrett,A.D.T.	UTMB, Pathology	USA	2011-10-01T00:00:00Z	Q3574-5	Orthoflavivirus nilense	11062	partial	Cyprus	Cyprus	?	?	?	1968	?	West Nile virus isolate Q3574-5 polyprotein gene, complete cds	?
KM203861.1	2029	West Nile virus	?	Rudolf,I., Bakonyi,T., Sebesta,O., Mendel,J., Pesko,J., Betasova,L., Blazejova,H., Venclikova,K., Strakova,P., Nowotny,N., Hubalek,Z.	Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group	Austria	2014-08-16T00:00:00Z	?	Orthoflavivirus nilense	11018	complete	Czech Republic: South Moravia, Nesyt fishpond at Mikulov	Czech Republic	?	Culex modestus	?	2013-08-08	?	West Nile virus strain Cz 13-329, complete genome	South Moravia, Nesyt fishpond at Mikulov
KM203860.1	2028	West Nile virus	?	Rudolf,I., Bakonyi,T., Sebesta,O., Mendel,J., Pesko,J., Betasova,L., Blazejova,H., Venclikova,K., Strakova,P., Nowotny,N., Hubalek,Z.	Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group	Austria	2014-08-16T00:00:00Z	?	Orthoflavivirus nilense	11018	complete	Czech Republic: South Moravia, Novy fishpond at Mikulov	Czech Republic	?	Culex modestus	?	2013-08-08	?	West Nile virus strain Cz 13-104, complete genome	South Moravia, Novy fishpond at Mikulov
KM203862.1	2030	West Nile virus	?	Rudolf,I., Bakonyi,T., Sebesta,O., Mendel,J., Pesko,J., Betasova,L., Blazejova,H., Venclikova,K., Strakova,P., Nowotny,N., Hubalek,Z.	Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group	Austria	2014-08-16T00:00:00Z	?	Orthoflavivirus nilense	11018	complete	Czech Republic: South Moravia, Mlynsky fishpond at Lednice	Czech Republic	?	Culex modestus	?	2013-08-08	?	West Nile virus strain Cz 13-479, complete genome	South Moravia, Mlynsky fishpond at Lednice
KM203863.1	2031	West Nile virus	?	Rudolf,I., Bakonyi,T., Sebesta,O., Mendel,J., Pesko,J., Betasova,L., Blazejova,H., Venclikova,K., Strakova,P., Nowotny,N., Hubalek,Z.	Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group	Austria	2014-08-16T00:00:00Z	?	Orthoflavivirus nilense	11018	complete	Czech Republic: South Moravia, Mlynsky fishpond at Lednice	Czech Republic	?	Culex modestus	?	2013-08-08	?	West Nile virus strain Cz 13-502, complete genome	South Moravia, Mlynsky fishpond at Lednice
HM147824.1	2762	West Nile virus	?	McMullen,A.R., Albayrak,H., May,F.J., Davis,C.T., Beasley,D.W., Barrett,A.D., Barrett,A.	UTMB, Pathology	USA	2011-04-21T00:00:00Z	?	Orthoflavivirus nilense	11050	complete	Democratic Republic of the Congo	Democratic Republic of the Congo	?	?	?	1958	?	West Nile virus from Democratic Republic of the Congo, complete genome	?
EU081844.1	3126	West Nile virus	?	Rayner,J.O., Halpern,M.D., Lednicky,J.A., Aldenderfer,R.W., McCurdy,K.S., Sosna,W.A., Davis,C.M., Nevins,C.J.	Midwest Research Institute, Biotechnology	USA	2007-08-26T00:00:00Z	?	Orthoflavivirus nilense	11029	complete	Egypt	Egypt	?	?	?	?	?	West Nile virus strain Egypt 101, complete genome	?
AY603654.1	3232	West Nile virus	?	Beasley,D.W., Whiteman,M.C., Zhang,S., Huang,C.Y., Schneider,B.S., Smith,D.R., Gromowski,G.D., Higgs,S., Kinney,R.M., Barrett,A.D., Beasley,D.W.C., Barrett,A.D.T.	University of Texas Medical Branch, Pathology	USA	2005-05-01T00:00:00Z	?	Orthoflavivirus nilense	11029	complete	Ethiopia	Ethiopia	?	?	?	?	?	West Nile virus strain EthAn4766, complete genome	?
