Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
OP762593.1,West Nile virus,,"Lu,L., Zhang,F., Oude Munnink,B.B., Munger,E., Sikkema,R.S., Pappa,S., Tsioka,K., Sinigaglia,A., Dal Molin,E., Shih,B.B., Guenther,A., Pohlmann,A., Beer,M., Taylor,R.A., Bartumeus,F., Woolhouse,M., Aarestrup,F.M., Barzon,L., Papa,A., Lycett,S., Koopmans,M.P.G., Schrama,M., van den Berg,T., Molenkamp,R., Koenraadt,C.J.M., van den Brand,J.M.A., van der Jeugd,H.","Erasmus MC Rotterdam, Viroscience",Netherlands,2023-02-13T00:00:00Z,Culexpipiens_UGR20TL6TN2.1_41,Orthoflavivirus nilense,10940,partial,"Netherlands: Province of Utrecht, Haarzuilens",Netherlands,,Culex pipiens,pooled insects,2020-09-15,,"West Nile virus isolate Culexpipiens_UGR20TL6TN2.1_41 polyprotein gene, complete cds"
OP762594.1,West Nile virus,,"Lu,L., Zhang,F., Oude Munnink,B.B., Munger,E., Sikkema,R.S., Pappa,S., Tsioka,K., Sinigaglia,A., Dal Molin,E., Shih,B.B., Guenther,A., Pohlmann,A., Beer,M., Taylor,R.A., Bartumeus,F., Woolhouse,M., Aarestrup,F.M., Barzon,L., Papa,A., Lycett,S., Koopmans,M.P.G., Schrama,M., van den Berg,T., Molenkamp,R., Koenraadt,C.J.M., van den Brand,J.M.A., van der Jeugd,H.","Erasmus MC Rotterdam, Viroscience",Netherlands,2023-02-13T00:00:00Z,Culexsp_UGR20TL7TN2.2_46,Orthoflavivirus nilense,10940,partial,"Netherlands: Province of Utrecht, Haarzuilens",Netherlands,,,,2020-09-15,,"West Nile virus isolate Culexsp_UGR20TL7TN2.2_46 polyprotein gene, complete cds"
OP762595.1,West Nile virus,,"Lu,L., Zhang,F., Oude Munnink,B.B., Munger,E., Sikkema,R.S., Pappa,S., Tsioka,K., Sinigaglia,A., Dal Molin,E., Shih,B.B., Guenther,A., Pohlmann,A., Beer,M., Taylor,R.A., Bartumeus,F., Woolhouse,M., Aarestrup,F.M., Barzon,L., Papa,A., Lycett,S., Koopmans,M.P.G., Schrama,M., van den Berg,T., Molenkamp,R., Koenraadt,C.J.M., van den Brand,J.M.A., van der Jeugd,H.","Erasmus MC Rotterdam, Viroscience",Netherlands,2023-02-13T00:00:00Z,Phylloscopuscollybita_20TV2584,Orthoflavivirus nilense,10940,partial,"Netherlands: Province of Utrecht, Haarzuilens",Netherlands,,Phylloscopus collybita,,2020-09-27,,"West Nile virus isolate Phylloscopuscollybita_20TV2584 polyprotein gene, complete cds"
OP762596.1,West Nile virus,,"Lu,L., Zhang,F., Oude Munnink,B.B., Munger,E., Sikkema,R.S., Pappa,S., Tsioka,K., Sinigaglia,A., Dal Molin,E., Shih,B.B., Guenther,A., Pohlmann,A., Beer,M., Taylor,R.A., Bartumeus,F., Woolhouse,M., Aarestrup,F.M., Barzon,L., Papa,A., Lycett,S., Koopmans,M.P.G., Schrama,M., van den Berg,T., Molenkamp,R., Koenraadt,C.J.M., van den Brand,J.M.A., van der Jeugd,H.","Erasmus MC Rotterdam, Viroscience",Netherlands,2023-02-13T00:00:00Z,Passerdomesticus_20TV3436,Orthoflavivirus nilense,10790,partial,"Netherlands: Province of Utrecht, Vleuten",Netherlands,,Passer domesticus,,2020-09-26,,"West Nile virus isolate Passerdomesticus_20TV3436 polyprotein gene, complete cds"
OP762597.1,West Nile virus,,"Lu,L., Zhang,F., Oude Munnink,B.B., Munger,E., Sikkema,R.S., Pappa,S., Tsioka,K., Sinigaglia,A., Dal Molin,E., Shih,B.B., Guenther,A., Pohlmann,A., Beer,M., Taylor,R.A., Bartumeus,F., Woolhouse,M., Aarestrup,F.M., Barzon,L., Papa,A., Lycett,S., Koopmans,M.P.G., Schrama,M., van den Berg,T., Molenkamp,R., Koenraadt,C.J.M., van den Brand,J.M.A., van der Jeugd,H.","Erasmus MC Rotterdam, Viroscience",Netherlands,2023-02-13T00:00:00Z,Gallusgallusdomesticus_20TV3592,Orthoflavivirus nilense,10944,partial,"Netherlands: Province of Utrecht, Vleuten",Netherlands,,Gallus gallus,,2020-10-18,,"West Nile virus isolate Gallusgallusdomesticus_20TV3592 polyprotein gene, complete cds"
ON782107.1,West Nile virus,,"Fritsch,H., Pereira,F.M., Costa,E.A., Fonseca,V., Tosta,S., Xavier,J., Levy,F., Oliveira,C., Menezes,G., Lima,J., Santos,L., Silva,L., Nardy,V., Astete,M.K.G., Santos,B.S., Aguiar,N.R., Guedes,M.I.M.C., Faria,G.C., Furtini,R., Drumond,S.R.M., Cunha,G.M., Souza,M.S.P.L., Jesus,R., Guimar,S.A.F., Nuno,I.C., Santana,I.C.B., S,J.E.U., Santos,G.R., Silva,W.S., Guedes,T.F., Ara,E.L.L., Said,R.F.D.C., Albuquerque,C.F.C., Peterka,C.R.L., Romano,A.P.M., Cunha,R.V.D., Filippis,A.M.B., Leal E Silva de Mello,A., Giovanetti,M., Alcantara,L.C.J., Guimaraes,S.A.F., Sa,J.E.U., Freitas,C., Navegantes,W., Cunha,R.V., Mello,A.L.S.","Fundacao Oswaldo Cruz, Laboratorio de Flavivirus",Brazil,2023-02-08T00:00:00Z,,Orthoflavivirus nilense,10300,partial,"Brazil: Abaiara, Ceara",Brazil,,Equus caballus,brain,2019-01-10,,"West Nile virus strain BC24-LIB3 polyprotein gene, partial cds"
ON782108.1,West Nile virus,,"Fritsch,H., Pereira,F.M., Costa,E.A., Fonseca,V., Tosta,S., Xavier,J., Levy,F., Oliveira,C., Menezes,G., Lima,J., Santos,L., Silva,L., Nardy,V., Astete,M.K.G., Santos,B.S., Aguiar,N.R., Guedes,M.I.M.C., Faria,G.C., Furtini,R., Drumond,S.R.M., Cunha,G.M., Souza,M.S.P.L., Jesus,R., Guimar,S.A.F., Nuno,I.C., Santana,I.C.B., S,J.E.U., Santos,G.R., Silva,W.S., Guedes,T.F., Ara,E.L.L., Said,R.F.D.C., Albuquerque,C.F.C., Peterka,C.R.L., Romano,A.P.M., Cunha,R.V.D., Filippis,A.M.B., Leal E Silva de Mello,A., Giovanetti,M., Alcantara,L.C.J., Guimaraes,S.A.F., Sa,J.E.U., Freitas,C., Navegantes,W., Cunha,R.V., Mello,A.L.S.","Fundacao Oswaldo Cruz, Laboratorio de Flavivirus",Brazil,2023-02-08T00:00:00Z,,Orthoflavivirus nilense,10271,partial,"Brazil: Itagiba, Bahia",Brazil,,Equus caballus,,2018-04-21,,"West Nile virus strain LACENBA15 polyprotein gene, partial cds"
ON782109.1,West Nile virus,,"Fritsch,H., Pereira,F.M., Costa,E.A., Fonseca,V., Tosta,S., Xavier,J., Levy,F., Oliveira,C., Menezes,G., Lima,J., Santos,L., Silva,L., Nardy,V., Astete,M.K.G., Santos,B.S., Aguiar,N.R., Guedes,M.I.M.C., Faria,G.C., Furtini,R., Drumond,S.R.M., Cunha,G.M., Souza,M.S.P.L., Jesus,R., Guimar,S.A.F., Nuno,I.C., Santana,I.C.B., S,J.E.U., Santos,G.R., Silva,W.S., Guedes,T.F., Ara,E.L.L., Said,R.F.D.C., Albuquerque,C.F.C., Peterka,C.R.L., Romano,A.P.M., Cunha,R.V.D., Filippis,A.M.B., Leal E Silva de Mello,A., Giovanetti,M., Alcantara,L.C.J., Guimaraes,S.A.F., Sa,J.E.U., Freitas,C., Navegantes,W., Cunha,R.V., Mello,A.L.S.","Fundacao Oswaldo Cruz, Laboratorio de Flavivirus",Brazil,2023-02-08T00:00:00Z,,Orthoflavivirus nilense,10300,partial,"Brazil: Ipira, Bahia",Brazil,,Equus caballus,,2019-07-22,,"West Nile virus strain LACENBA17 polyprotein gene, partial cds"
ON032488.1,West Nile virus,,"Mencattelli,G., Monaco,F., Savini,G.","Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Virology Unit",Italy,2023-02-07T00:00:00Z,ITA2020 13779,Orthoflavivirus nilense,10968,partial,Italy: Piemonte region,Italy,,Corvus cornix,,2020-09-07,,"West Nile virus strain 137779/20 polyprotein gene, complete cds"
ON032489.1,West Nile virus,,"Mencattelli,G., Monaco,F., Savini,G.","Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Virology Unit",Italy,2023-02-07T00:00:00Z,ITA2020 137795,Orthoflavivirus nilense,10984,partial,Italy: Piemonte region,Italy,,Accipiter gentilis,,2020-09-01,,"West Nile virus strain 137795/20 polyprotein gene, complete cds"
ON032490.1,West Nile virus,,"Mencattelli,G., Monaco,F., Savini,G.","Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Virology Unit",Italy,2023-02-07T00:00:00Z,ITA2021 302382,Orthoflavivirus nilense,10980,partial,Italy: Piemonte region,Italy,,Accipiter gentilis,,2021-08-19,,"West Nile virus strain 302382/21 polyprotein gene, complete cds"
ON032491.1,West Nile virus,,"Mencattelli,G., Monaco,F., Savini,G.","Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Virology Unit",Italy,2023-02-07T00:00:00Z,ITA2021 302053,Orthoflavivirus nilense,10999,partial,Italy: Lombardi region,Italy,,Corvus cornix,,2021-08-18,,"West Nile virus strain 302053/21 polyprotein gene, complete cds"
ON032492.1,West Nile virus,,"Mencattelli,G., Monaco,F., Savini,G.","Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Virology Unit",Italy,2023-02-07T00:00:00Z,ITA2021 304510,Orthoflavivirus nilense,10986,partial,Italy: Emilia-Romagna region,Italy,,Pica pica,,2021-08-26,,"West Nile virus strain 304510/21 polyprotein gene, complete cds"
ON032493.1,West Nile virus,,"Mencattelli,G., Monaco,F., Savini,G.","Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Virology Unit",Italy,2023-02-07T00:00:00Z,ITA2021 304515,Orthoflavivirus nilense,10999,partial,Italy: Emilia-Romagna region,Italy,,Accipiter gentilis,,2021-08-29,,"West Nile virus strain 304515/21 polyprotein gene, complete cds"
ON032494.1,West Nile virus,,"Mencattelli,G., Monaco,F., Savini,G.","Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Virology Unit",Italy,2023-02-07T00:00:00Z,ITA2021 307743,Orthoflavivirus nilense,10999,partial,Italy: Sardegna region,Italy,,Accipiter gentilis,,2021-08-10,,"West Nile virus strain 307743/21 polyprotein gene, complete cds"
ON032495.1,West Nile virus,,"Mencattelli,G., Monaco,F., Savini,G.","Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Virology Unit",Italy,2023-02-07T00:00:00Z,ITA2021 309902,Orthoflavivirus nilense,10984,partial,Italy: Emilia-Romagna region,Italy,,Corvus cornix,,2021-09-16,,"West Nile virus strain 309902/21 polyprotein gene, complete cds"
ON032497.1,West Nile virus,,"Mencattelli,G., Monaco,F., Curini,V., Di Gennaro,A., Savini,G.","Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Virology Unit",Italy,2023-02-07T00:00:00Z,ITA2020 301498,Orthoflavivirus nilense,11000,partial,Italy: Emilia-Romagna region,Italy,,Garrulus glandarius,,2021-08-03,,"West Nile virus strain 301498/20 polyprotein gene, complete cds"
ON032498.1,West Nile virus,,"Mencattelli,G., Monaco,F., Curini,V., Di Gennaro,A., Savini,G.","Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Virology Unit",Italy,2023-02-07T00:00:00Z,ITA2022 15935,Orthoflavivirus nilense,10991,partial,Italy: Umbria region,Italy,,Accipiter gentilis,,2022-01-25,,"West Nile virus isolate ITA2022 15935 polyprotein gene, complete cds"
OQ053515.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10992,complete,Greece,Greece,,Homo sapiens,,2022-08-31,,"West Nile virus strain GR-CHALKIDIKI/670h/2022, complete genome"
OQ053516.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10989,complete,Greece,Greece,,Homo sapiens,,2022-08-19,,"West Nile virus strain GR-Larissa/792h/2022, complete genome"
OQ053517.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10989,complete,Greece,Greece,,Culex pipiens,,2022-08-16,,"West Nile virus strain GR-Thessaloniki/563m/2022, complete genome"
OQ053518.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10993,complete,Greece,Greece,,Culex pipiens,,2022-07-26,,"West Nile virus strain GR-Larissa/441m/2022, complete genome"
OQ053519.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10993,complete,Greece,Greece,,Culex pipiens,,2022-06-29,,"West Nile virus strain GR-Thessaloniki/312m/2022, complete genome"
OQ053520.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10994,complete,Greece,Greece,,Culex pipiens,,2022-08-31,,"West Nile virus strain GR-Pieria/670m/2022, complete genome"
OQ053521.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10996,complete,Greece,Greece,,Culex pipiens,,2022-09-07,,"West Nile virus strain GR-Thessaloniki/734m/2022, complete genome"
OQ053522.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10981,complete,Greece,Greece,,Culex pipiens,,2022-08-18,,"West Nile virus strain GR-Thessaloniki/581m/2022, complete genome"
OQ053523.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10978,complete,Greece,Greece,,Culex pipiens,,2022-07-13,,"West Nile virus strain GR-Thessaloniki/381m/2022, complete genome"
OQ053524.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10989,complete,Greece,Greece,,Culex pipiens,,2022-07-29,,"West Nile virus strain GR-Imathia/472m/2022, complete genome"
OQ053525.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10989,complete,Greece,Greece,,Culex pipiens,,2022-08-03,,"West Nile virus strain GR-Kilkis/482m/2022, complete genome"
OQ053526.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10992,complete,Greece,Greece,,Culex pipiens,,2022-08-18,,"West Nile virus strain GR-Serres/574m/2022, complete genome"
OQ053527.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10978,complete,Greece,Greece,,Culex pipiens,,2022-08-22,,"West Nile virus strain GR-Chalkidiki/591m/2022, complete genome"
OQ053528.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10978,complete,Greece,Greece,,Culex pipiens,,2022-08-31,,"West Nile virus strain GR-Pieria/668m/2022, complete genome"
OQ053529.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10978,complete,Greece,Greece,,Culex pipiens,,2022-08-29,,"West Nile virus strain GR-Pieria/646m/2022, complete genome"
OQ053530.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10983,complete,Greece,Greece,,Culex pipiens,,2022-08-16,,"West Nile virus strain GR-Imathia/554m/2022, complete genome"
OQ053531.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10983,complete,Greece,Greece,,Culex pipiens,,2022-08-24,,"West Nile virus strain GR-Pella/615m/2022, complete genome"
OQ053532.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10992,complete,Greece,Greece,,Culex pipiens,,2022-07-11,,"West Nile virus strain GR-Thessaloniki/364m/2022, complete genome"
OQ053533.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10981,complete,Greece,Greece,,Culex pipiens,,2022-08-24,,"West Nile virus strain GR-Imathia/611m/2022, complete genome"
OQ053534.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10988,complete,Greece,Greece,,Culex pipiens,,2022-08-30,,"West Nile virus strain GR-Larissa/671m/2022, complete genome"
OQ053535.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10993,complete,Greece,Greece,,Culex pipiens,,2022-07-27,,"West Nile virus strain GR-Thessaloniki/454m/2022, complete genome"
OQ053536.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10978,complete,Greece,Greece,,Culex pipiens,,2022-08-08,,"West Nile virus strain GR-Serres/503m/2022, complete genome"
OQ053537.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10998,complete,Greece,Greece,,Culex pipiens,,2022-07-28,,"West Nile virus strain GR-Imathia/459m/2022, complete genome"
OQ053538.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10987,complete,Greece,Greece,,Culex pipiens,,2022-08-10,,"West Nile virus strain GR-Imathia/535m/2022, complete genome"
OQ053539.1,West Nile virus,,"Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2023-02-01T00:00:00Z,,Orthoflavivirus nilense,10992,complete,Greece,Greece,,Culex pipiens,,2022-07-18,,"West Nile virus strain GR-Pieria/401m/2022, complete genome"
OP643863.1,West Nile virus,,"Ruiz-Lopez,M.J., Munoz-Chimeno,M., Figuerola,J., Gavilan,A.M., Varona,S., Cuesta,I., Martinez-de la Puente,J., Zaballos,A., Molero,F., Soriguer,R.C., Sanchez-Seco,M.P., Ruiz,S., Vazquez,A., Sanchez-Seco,Mf.P.","Instituto de Salud Carlos III, National Center of Microbiology",Spain,2023-01-27T00:00:00Z,,Orthoflavivirus nilense,10300,partial,Spain,Spain,,Culex perexiguus,,2020,,"West Nile virus strain 20c124 polyprotein gene, partial cds"
OP643864.1,West Nile virus,,"Ruiz-Lopez,M.J., Munoz-Chimeno,M., Figuerola,J., Gavilan,A.M., Varona,S., Cuesta,I., Martinez-de la Puente,J., Zaballos,A., Molero,F., Soriguer,R.C., Sanchez-Seco,M.P., Ruiz,S., Vazquez,A., Sanchez-Seco,Mf.P.","Instituto de Salud Carlos III, National Center of Microbiology",Spain,2023-01-27T00:00:00Z,,Orthoflavivirus nilense,10300,partial,Spain,Spain,,Culex perexiguus,,2021,,"West Nile virus strain 21c560 polyprotein gene, partial cds"
ON994909.1,West Nile virus,,"Lee,D.-H., Chung,D.H., Helal,Z., McGinnis,H., Sims,M., Hunt,A., Hyeon,J.-Y., Kim,J., Risatti,G.","University of Connecticut, Pathobiology",USA,2023-01-17T00:00:00Z,21_3782,Orthoflavivirus nilense,10724,complete,"USA: Lexington,MA",USA,KY,Vicugna pacos,,2019-09-06,,"West Nile virus isolate 21_3782, complete genome"
ON994910.1,West Nile virus,,"Lee,D.-H., Chung,D.H., Helal,Z., McGinnis,H., Sims,M., Hunt,A., Hyeon,J.-Y., Kim,J., Risatti,G.","University of Connecticut, Pathobiology",USA,2023-01-17T00:00:00Z,21_3957,Orthoflavivirus nilense,10787,complete,"USA: Brandford,CT",USA,CT,Corvus,,2021-09-19,,"West Nile virus isolate 21_3957, complete genome"
OP846971.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G., Sall,A.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD52398/1989,Orthoflavivirus nilense,10104,partial,Senegal,Senegal,,Culex poicilipes,,1989,,"West Nile virus isolate ArD52398/1989 polyprotein gene, partial cds"
OP846972.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G., Sall,A.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,AnD95153/1993,Orthoflavivirus nilense,10104,partial,Senegal,Senegal,,Mastomys erythroleucus,,1993,,"West Nile virus isolate AnD95153/1993 polyprotein gene, partial cds"
OP846973.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G., Sall,A.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD93548/1993,Orthoflavivirus nilense,10104,partial,Senegal,Senegal,,Culex neavei,,1993,,"West Nile virus isolate ArD93548/1993 polyprotein gene, partial cds"
OP846974.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G., Sall,A.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD120040/1996,Orthoflavivirus nilense,10104,partial,Senegal,Senegal,,Culex neavei,,1996,,"West Nile virus isolate ArD120040/1996 polyprotein gene, partial cds"
OP846975.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G., Sall,A.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD121684/1996,Orthoflavivirus nilense,10104,partial,Senegal,Senegal,,Aedes dalzieli,,1996,,"West Nile virus isolate ArD121684/1996 polyprotein gene, partial cds"
OP846976.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD54238/1989,Orthoflavivirus nilense,10092,partial,Senegal,Senegal,,Culex poicilipes,,1989,,"West Nile virus isolate ArD54238/1989 polyprotein gene, partial cds"
OP846977.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD62891/1990,Orthoflavivirus nilense,10113,partial,Senegal,Senegal,,Culex antennatus,,1990,,"West Nile virus isolate ArD62891/1990 polyprotein gene, partial cds"
OP846978.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD251080/2012,Orthoflavivirus nilense,10104,partial,Senegal,Senegal,,Culex neavei,,2012,,"West Nile virus isolate ArD251080/2012 polyprotein gene, partial cds"
OP846979.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD253054/2013,Orthoflavivirus nilense,10104,partial,Senegal,Senegal,,Culex neavei,,2013,,"West Nile virus isolate ArD253054/2013 polyprotein gene, partial cds"
