,Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,date,BioSample,GenBank_Title,Division
906,MH507842.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2007-06-22,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2007-06-22/W288, partial genome","Bakersfield,California"
907,MH507843.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2007-06-25,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2007-06-25/W289, partial genome","Bakersfield,California"
908,MH507844.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2007-06-25,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2007-06-25/W290, partial genome","Bakersfield,California"
909,MH507845.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2007-06-29,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2007-06-29/W291, partial genome","Bakersfield,California"
910,MH507846.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2007-06-29,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2007-06-29/W292, partial genome","Bakersfield,California"
911,MH507847.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2007-07-05,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2007-07-05/W293, partial genome","Bakersfield,California"
912,MH507848.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2007-07-09,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2007-07-09/W294, partial genome","Bakersfield,California"
913,MH507849.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2007-07-09,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2007-07-09/W295, partial genome","Bakersfield,California"
914,MH507850.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2007-07-09,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2007-07-09/W296, partial genome","Bakersfield,California"
915,MH507851.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2007-07-12,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2007-07-12/W297, partial genome","Bakersfield,California"
916,MH507852.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2007-07-13,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2007-07-13/W298, partial genome","Bakersfield,California"
917,MH507853.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Calypte costae,tissue,2008-06-27,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2008-06-27/W299, partial genome","Bakersfield,California"
918,MH507854.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Zenaida macroura,tissue,2008-03-13,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2008-03-13/W300, partial genome","Bakersfield,California"
919,MH507855.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Turdus migratorius,tissue,2008-07-23,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2008-07-23/W302, partial genome","Bakersfield,California"
920,MH507856.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Passer domesticus,tissue,2008-09-24,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2008-09-24/W303, partial genome","Bakersfield,California"
921,MH507857.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Haemorhous mexicanus,tissue,2009-06-14,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2009-06-14/W304, partial genome","Bakersfield,California"
922,MH507858.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2009-06-08,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2009-06-08/W305, partial genome","Bakersfield,California"
923,MH507859.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Passeridae,tissue,2009-06-16,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2009-06-16/W306, partial genome","Bakersfield,California"
924,MH507860.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2009-06-15,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2009-06-15/W307, partial genome","Bakersfield,California"
925,MH507861.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Passer domesticus,tissue,2009-06-24,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2009-06-24/W308, partial genome","Bakersfield,California"
926,MH507862.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Shafter,California",USA,CA,Parulidae,tissue,2009-07-07,?,"West Nile virus strain WNV/bird/Shafter_CA_USA/2009-07-07/W309, partial genome","Shafter,California"
927,MH507863.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Passer domesticus,tissue,2009-07-13,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2009-07-13/W310, partial genome","Bakersfield,California"
928,MH507864.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Turdus migratorius,tissue,2009-07-23,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2009-07-23/W311, partial genome","Bakersfield,California"
929,MH507865.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Passer domesticus,tissue,2010-07-06,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2010-07-06/W312, partial genome","Bakersfield,California"
930,MH507866.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2010-07-12,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2010-07-12/W313, partial genome","Bakersfield,California"
931,MH507867.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2010-07-19,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2010-07-19/W314, partial genome","Bakersfield,California"
932,MH507868.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aves,tissue,2010-07-22,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2010-07-22/W315, partial genome","Bakersfield,California"
933,MH507869.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Passer domesticus,tissue,2010-07-22,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2010-07-22/W316, partial genome","Bakersfield,California"
934,MH507870.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Haemorhous mexicanus,tissue,2010-07-23,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2010-07-23/W317, partial genome","Bakersfield,California"
935,MH507871.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Passer domesticus,tissue,2010-07-26,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2010-07-26/W318, partial genome","Bakersfield,California"
936,MH507872.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2010-07-26,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2010-07-26/W319, partial genome","Bakersfield,California"
937,MH507873.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2010-07-28,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2010-07-28/W320, partial genome","Bakersfield,California"
938,MH507874.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Passer domesticus,tissue,2011-06-17,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2011-06-17/W321, partial genome","Bakersfield,California"
939,MH507875.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Passer domesticus,tissue,2011-06-17,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2011-06-17/W322, partial genome","Bakersfield,California"
940,MH507876.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2011-08-05,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2011-08-05/W323, partial genome","Bakersfield,California"
941,MH507877.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2011-08-08,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2011-08-08/W324, partial genome","Bakersfield,California"
942,MH507878.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2011-08-08,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2011-08-08/W325, partial genome","Bakersfield,California"
943,MH507879.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Passer domesticus,tissue,2011-11-17,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2011-11-17/W327, partial genome","Bakersfield,California"
944,MH507880.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2012-06-08,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2012-06-08/W328, partial genome","Bakersfield,California"
945,MH507881.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Euphagus cyanocephalus,tissue,2012-06-10,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2012-06-10/W329, partial genome","Bakersfield,California"
946,MH507882.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Falco sparverius,tissue,2012-06-13,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2012-06-13/W331, partial genome","Bakersfield,California"
947,MH507883.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2012-06-18,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2012-06-18/W332, partial genome","Bakersfield,California"
948,MH507884.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Corvus brachyrhynchos,tissue,2012-06-24,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2012-06-24/W333, partial genome","Bakersfield,California"
949,MH507885.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Haemorhous mexicanus,tissue,2012-07-09,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2012-07-09/W334, partial genome","Bakersfield,California"
950,MH507886.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Corvus brachyrhynchos,tissue,2012-07-10,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2012-07-10/W335, partial genome","Bakersfield,California"
951,MH507887.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2013-06-10,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2013-06-10/W339, partial genome","Bakersfield,California"
952,MH507888.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Aphelocoma californica,tissue,2013-07-08,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2013-07-08/W340, partial genome","Bakersfield,California"
953,MH507889.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Corvus brachyrhynchos,tissue,2017-07-04,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2017-07-04/W342, partial genome","Bakersfield,California"
954,MH507890.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Corvus brachyrhynchos,tissue,2017-07-07,?,"West Nile virus strain WNV/bird/Bakersfield_CA_USA/2017-07-07/W343, partial genome","Bakersfield,California"
955,MH507891.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-08-05,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2004-08-05/W344, partial genome","Bakersfield,California"
956,MH507892.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Arvin,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-08-05,?,"West Nile virus strain WNV/mosquito/Arvin_CA_USA/2004-08-05/W345, partial genome","Arvin,California"
957,MH507893.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Arvin,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-08-05,?,"West Nile virus strain WNV/mosquito/Arvin_CA_USA/2004-08-05/W346, partial genome","Arvin,California"
958,MH507894.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-08-10,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2004-08-10/W347, partial genome","Bakersfield,California"
959,MH507895.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Arvin,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-08-11,?,"West Nile virus strain WNV/mosquito/Arvin_CA_USA/2004-08-11/W348, partial genome","Arvin,California"
960,MH507896.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-08-11,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2004-08-11/W349, partial genome","Bakersfield,California"
961,MH507897.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Arvin,California",USA,CA,Culex tarsalis,pooled insects,2004-08-11,?,"West Nile virus strain WNV/mosquito/Arvin_CA_USA/2004-08-11/W350, partial genome","Arvin,California"
962,MH507898.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Shafter,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-08-12,?,"West Nile virus strain WNV/mosquito/Shafter_CA_USA/2004-08-12/W351, partial genome","Shafter,California"
963,MH507899.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bowerbank,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-08-12,?,"West Nile virus strain WNV/mosquito/Bowerbank_CA_USA/2004-08-12/W352, partial genome","Bowerbank,California"
964,MH507900.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Greenacres,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-08-12,?,"West Nile virus strain WNV/mosquito/Greenacres_CA_USA/2004-08-12/W353, partial genome","Greenacres,California"
